program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,191,-383,209,-493,7,-31,0.03664921465968586,-0.02955287593264863
MSITL,Paid Social,/masters-information-technology-leadership/lp/ppc/,189,-165,232,-212,7,-17,0.037037037037037035,-0.03075957313245449
MSLDT,Organic Search,/what-is-instructional-design-examples/,181,-379,193,-383,1,-1,0.0055248618784530384,0.001953433307024467
MSHA,Organic Search,/theory-of-change/,180,179,173,172,0,0,0,0
LEPSL,Direct,/masters-law-enforcement-leadership/,180,-99,245,-241,2,-3,0.011111111111111112,-0.0068100358422939055
CyberOps,Direct,/top-100-cybersecurity-companies/,178,-972,173,-1258,0,0,0,0
CyberOps,Direct,/top-cyber-security-threats/,177,-1012,172,-1134,0,0,0,0
MSITL,Organic Search,/information-technology-trends/,175,-332,194,-358,0,0,0,0
MTS,Direct,/what-is-liturgy/,175,-78,191,-107,1,1,0.005714285714285714,0.005714285714285714
EML,Organic Search,/future-engineering-trends/,173,,185,,1,,0.005780346820809248,
MTS,Direct,/serving-god/,170,-383,187,-448,0,0,0,0
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,169,-1416,180,-1559,0,-1,0,-0.0006309148264984228
LEPSL,Organic Search,/police-communication-important-today/,166,-559,194,-639,0,0,0,0
MTS,Paid Social,/masters-theological-studies/,165,159,174,168,0,0,0,0
MTS,Organic Search,/catholic-charism-comparison/,159,-72,178,-52,0,0,0,0
MSNP,Email,/masters-nonprofit-leadership-management/lp/dyna/,159,-955,170,-1170,6,-58,0.03773584905660377,-0.019714779309643986
MSAAI,Direct,/artificial-intelligence-jobs/,158,-454,165,-507,1,1,0.006329113924050633,0.006329113924050633
MSAAI,Referral,/artificial-intelligence-education/,157,-321,159,-317,0,-1,0,-0.0020920502092050207
MSLDT,Direct,/instructional-design-models/,157,15,157,19,0,0,0,0
MED,Organic Search,/adaptive-curriculum-for-special-education/,155,,157,,1,,0.0064516129032258064,
MESH,Email,/masters-engineering-sustainability-health/lp/dyna/,154,-1071,162,-1497,0,-4,0,-0.0032653061224489797
MSHA,Email,/masters-humanitarian-action/lp/dyna/,154,150,186,180,12,11,0.07792207792207792,-0.17207792207792208
LEPSL,Organic Search,/masters-law-enforcement-leadership/,154,-73,273,-195,3,-4,0.01948051948051948,-0.011356484924766864
MED,Organic Search,/manage-cell-phones-in-class-tips/,151,,153,,0,,0,
MSAAI,Organic Search,/ai-trainer/,149,-604,162,-686,0,-8,0,-0.010624169986719787
MSNP,Display,/masters-nonprofit-leadership-management/lp/dyna/,145,-117,161,-201,3,-2,0.020689655172413793,0.0016056857067649373
Informatics,Paid Social,/nursing-informatics-vs-health-informatics/,137,3,147,7,0,0,0,0
MSHA,Organic Search,/examples-of-social-change/,136,,146,,0,,0,
MTS,Organic Search,/ministry-careers/,136,-295,137,-315,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/,135,36,173,17,2,-1,0.014814814814814815,-0.015488215488215488
Default - (not set),Direct,/about/state-authorization-status/,131,,139,,0,,0,
MSLDT,Organic Search,/job-aid-examples-template/,129,-319,126,-322,0,0,0,0
MED,Direct,/what-is-educational-technology-definition-examples-impact/,127,-264,132,-366,0,-1,0,-0.0025575447570332483
MSAAI,Organic Search,/artificial-intelligence-finance/,126,-1318,124,-1357,0,-4,0,-0.002770083102493075
MED,Organic Search,/rethinking-education-assessment-types/,126,-44,117,-46,0,0,0,0
LEPSL,Email,/best-police-leadership-books/,124,119,145,139,0,0,0,0
MED,Organic Search,/educational-resources-for-teachers/,124,-705,127,-704,1,1,0.008064516129032258,0.008064516129032258
CyberEng,Organic Search,/cyber-security-statistics/,122,21,119,27,0,0,0,0
LEPSL,Paid Search,/masters-law-enforcement-leadership/lp/law-enforcement/,121,91,171,136,10,8,0.08264462809917356,0.01597796143250689
MED,Organic Search,/careers-masters-curriculum-instruction/,116,114,121,119,0,0,0,0
Informatics,Organic Search,/masters-health-informatics/,114,-112,218,-296,6,-1,0.05263157894736842,0.02165812761993479
MSAAI,Direct,/masters-applied-artificial-intelligence/classes/,113,-85,155,-66,1,-1,0.008849557522123894,-0.0012514525788862082
CyberOps,Direct,/top-cyber-security-blogs-websites/,112,-211,110,-240,0,-1,0,-0.0030959752321981426
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,112,-877,135,-1312,0,-48,0,-0.04853387259858443
MSLDT,Organic Search,/career-changes-for-teachers/,112,80,126,42,0,0,0,0
MSAAI,Organic Search,/careers-using-python/,109,-1080,113,-1144,0,-6,0,-0.005046257359125316
MSLDT,Organic Search,/addie-model-instructional-design/,108,93,111,74,1,1,0.009259259259259259,0.009259259259259259
MED,Organic Search,/inclusive-education-strategies/,107,-825,132,-880,0,-1,0,-0.001072961373390558
MSAAI,Direct,/masters-applied-artificial-intelligence/apply/,107,39,155,85,6,6,0.056074766355140186,0.056074766355140186
Default - (not set),Organic Search,/transformational-leadership/,106,,105,,0,,0,
MED,Direct,/brain-based-learning/,105,-119,107,-138,0,-1,0,-0.004464285714285714
MED,Organic Search,/faculty/joseph-lathan/,101,-2,122,10,0,0,0,0
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,101,-682,105,-636,0,0,0,0
MSNP,Organic Search,/best-nonprofit-degrees/,100,96,116,105,0,-1,0,-0.25
Data Science,Organic Search,/quantitative-analyst-career/,97,-636,95,-632,0,0,0,0
MED,Direct,/differentiated-instruction/,96,-166,95,-166,0,0,0,0
MESH,Organic Search,/climate-change-careers/,96,-186,96,-194,1,1,0.010416666666666666,0.010416666666666666
LEPSL,Direct,/10-innovative-police-technologies/,95,-153,93,-190,0,0,0,0
MSAAI,Direct,/ai-blogs/,95,15,85,0,0,0,0,0
MESH,Organic Search,/sustainability-scholarships/,94,-158,94,-163,0,-1,0,-0.003968253968253968
LEPSL,Organic Search,/women-in-law-enforcement/,94,-473,97,-546,0,0,0,0
MSLDT,Organic Search,/create-employee-training-program/,94,-1012,96,-1026,2,-4,0.02127659574468085,0.015851640952637452
CyberEng,Display,/masters-cyber-security-engineering/lp/smartbrief-display/,93,-64,104,-72,5,-1,0.053763440860215055,0.015546880350660916
MSHA,Organic Search,/types-of-advocacy/,93,,92,,0,,0,
MSNP,Direct,/masters-nonprofit-leadership-management/,92,-69,193,-107,3,2,0.03260869565217391,0.026397515527950312
MED,Organic Search,/steam-education-in-schools/,92,-720,106,-781,0,-1,0,-0.0012315270935960591
