program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
LEPSL,Organic Search,/masters-law-enforcement-leadership/,154,-62,232,-198,2,0,0.012987012987012988,0.003727753727753729
Default - (not set),Direct,/about/state-authorization-status/,154,,181,,0,,0,
CyberOps,Organic Search,/top-cyber-security-blogs-websites/,154,-1307,147,-1236,0,0,0,0
Informatics,Paid Search,/masters-health-informatics/lp/study-healthcare-analytics/,151,-222,193,-317,9,-16,0.059602649006622516,-0.007421479679704565
MSHA,Organic Search,/theory-of-change/,148,-76,141,-62,1,1,0.006756756756756757,0.006756756756756757
MSHA,Organic Search,/examples-of-social-change/,146,115,158,131,0,0,0,0
MSAAI,Direct,/ai-impact-on-job-market/,146,-600,143,-724,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-finance/,145,-351,139,-341,0,-2,0,-0.004032258064516129
MED,Organic Search,/rethinking-education-assessment-types/,142,-138,137,-162,0,0,0,0
MSITL,Organic Search,/it-job-titles/,142,-526,143,-491,0,0,0,0
MTS,Direct,/serving-god/,139,-236,139,-302,0,-2,0,-0.005333333333333333
MSITL,Paid Social,/masters-information-technology-leadership/lp/ppc/,139,67,193,110,21,18,0.1510791366906475,0.10941247002398083
MSHA,Organic Search,/logical-framework-approach/,136,-244,116,-265,0,0,0,0
MSLDT,Organic Search,/create-employee-training-program/,134,-719,153,-647,0,-2,0,-0.0023446658851113715
CyberEng,Direct,/masters-cyber-security-engineering/,133,-75,162,-187,1,-7,0.007518796992481203,-0.03094274146905726
MED,Direct,/complete-list-teaching-methods/,131,-243,133,-298,0,-6,0,-0.016042780748663103
MSHA,Organic Search,/international-aid-worker-tips/,130,-295,141,-324,0,-2,0,-0.004705882352941176
MESH,Organic Search,/climate-change-careers/,129,-254,127,-234,0,0,0,0
LEPSL,Organic Search,/what-is-intelligence-led-policing/,127,-265,129,-322,0,-3,0,-0.007653061224489796
MED,Organic Search,/adaptive-curriculum-for-special-education/,127,,134,,0,,0,
Default - (not set),Paid Social,/lp/apply-now/,126,,129,,0,,0,
MSNP,Organic Search,/nonprofit-jobs/,121,47,124,51,0,0,0,0
MSNP,Direct,/masters-nonprofit-leadership-management/,121,-9,200,-53,5,2,0.04132231404958678,0.0182453909726637
MSAAI,Direct,/artificial-intelligence-jobs/,121,-414,129,-436,1,1,0.008264462809917356,0.008264462809917356
CyberOps,Direct,/top-cyber-security-blogs-websites/,119,-227,109,-230,0,-1,0,-0.002890173410404624
MED,Organic Search,/manage-cell-phones-in-class-tips/,118,,125,,0,,0,
MSNP,Organic Search,/best-nonprofit-degrees/,117,-78,129,-97,0,-1,0,-0.005128205128205128
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,115,-782,126,-871,0,0,0,0
MED,Organic Search,/summer-jobs-teachers/,115,-85,119,-86,0,0,0,0
MED,Organic Search,/teacher-cover-letter-examples/,113,-274,105,-220,0,0,0,0
MED,Direct,/teacher-centered-vs-student-centered-learning/,112,-402,103,-557,0,-6,0,-0.011673151750972763
LEPSL,Paid Search,/masters-law-enforcement-leadership/lp/law-enforcement/,112,102,139,125,8,6,0.07142857142857142,-0.1285714285714286
LEPSL,Organic Search,/women-in-law-enforcement/,111,-502,119,-526,0,0,0,0
MTS,Organic Search,/ministry-careers/,110,-325,125,-322,0,0,0,0
MSHA,Paid Search,/masters-humanitarian-action/lp/humanitarian-action/,110,-489,138,-696,7,-49,0.06363636363636363,-0.02985278494460465
MED,Organic Search,/faculty/joseph-lathan/,109,32,119,35,0,0,0,0
MSLDT,Organic Search,/what-is-instructional-design-examples/,109,-369,114,-367,1,0,0.009174311926605505,0.007082261717400484
MESH,Organic Search,/sustainability-scholarships/,107,-72,107,-73,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,107,-500,115,-706,0,-26,0,-0.042833607907743
MED,Direct,/faculty/joseph-lathan/,106,65,135,-42,0,0,0,0
MED,Organic Search,/educational-resources-for-teachers/,105,-333,107,-338,1,1,0.009523809523809525,0.009523809523809525
MSLDT,Direct,/kirkpatrick-training-evaluation-model/,104,-14,109,-1,2,2,0.019230769230769232,0.019230769230769232
MSAAI,Organic Search,/careers-using-python/,104,-360,107,-396,0,0,0,0
Default - (not set),Referral,/employer-partnership/axos/,104,,129,,0,,0,
MSAAI,Direct,/masters-applied-artificial-intelligence/classes/,103,31,119,32,1,0,0.009708737864077669,-0.004180151024811219
Default - (not set),Organic Search,/transformational-leadership/,102,,110,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Display,/ai-for-teachers/,102,,102,,0,,0,
MED,Direct,/masters-education/,102,-59,232,-119,2,-1,0.0196078431372549,0.0009743027645840938
MESH,Organic Search,/6-best-urban-planning-careers-degree-salary-guide/,101,-237,106,-250,0,0,0,0
Data Science,Organic Search,/sports-analytics-careers/,100,-13,105,-7,0,0,0,0
MED,Organic Search,/steam-education-in-schools/,97,-504,114,-525,0,0,0,0
MED,Organic Search,/per-pupil-education-spending-by-state/,97,21,101,28,0,0,0,0
MTS,Direct,/what-is-liturgy/,97,-118,109,-148,1,1,0.010309278350515464,0.010309278350515464
MED,Organic Search,/masters-education/,96,-130,144,-261,2,-1,0.020833333333333332,0.007558997050147492
null,Direct,/education-inequity-and-homework/,96,,96,,0,,0,
MSAAI,Direct,/masters-applied-artificial-intelligence/apply/,95,25,127,36,15,13,0.15789473684210525,0.12932330827067667
CyberEng,Organic Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,95,76,100,71,0,0,0,0
MESH,Organic Search,/community-health-degree-jobs/,94,-264,93,-276,0,0,0,0
MED,Direct,/effective-educational-leadership/,92,-114,113,-161,1,-1,0.010869565217391304,0.001160827353313635
MSHA,Organic Search,/types-of-advocacy/,91,,88,,0,,0,
MESH,Direct,/high-paying-environmental-jobs/,90,,93,,0,,0,
