program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MESH,Affiliate,3,-19,8,-23,1,-2,0.3333333333333333,1.4444444444444444
MSLDT,Unknown - copilot.com / (not set),3,,3,,0,,0,
MSNP,Organic Social,3,-2,6,1,0,0,0,
MTS,Unknown - ig / social,3,,3,,0,,0,
MSNP,Unknown - facebook / social,3,,3,,0,,0,
EML,Organic Social,2,0,1,-1,0,0,0,
"Default - computer-science,engineering,technology",Paid Search,2,1,2,2,0,0,0,
LEPSL,Unknown - Data Not Available / Data Not Available,2,-4,3,-4,0,0,0,
"Default - computer-science,engineering,technology",Email,2,1,2,1,0,0,0,
Default - (not set),Display,2,-12,6,-8,0,0,0,
MSNP,Unknown - Data Not Available / Data Not Available,2,-10,3,-26,0,-4,0,-1
MTS,Unknown - copilot.com / (not set),2,,2,,0,,0,
"Default - humanitarian-nonprofit,leadership-management",Direct,2,-1,3,-6,0,0,0,
MSITL,Unknown - Data Not Available / Data Not Available,2,-8,6,-7,1,1,0.5,
MSITL,Unknown - chatgpt.com / (not set),2,,4,,0,,0,
MTS,Unknown - perplexity / (not set),2,,2,,0,,0,
MESH,Unknown - ig / social,2,,4,,0,,0,
MSITL,Unknown - perplexity / (not set),2,,2,,0,,0,
Informatics,Unknown - fashion-valley-mall / ooh,2,,6,,0,,0,
LEPSL,Unknown - copilot.com / (not set),2,,2,,0,,0,
MESH,Unknown - facebook / social,2,,1,,0,,0,
Informatics,Display,2,0,2,1,0,0,0,
MSITL,Unknown - Keystone / ReadMoreSchoolWebsiteCTA,1,0,6,-6,1,0,1,0
MED,Unknown - facebook / social,1,,1,,0,,0,
BSN,Unknown - chatgpt.com / (not set),1,,1,,0,,0,
MTS,Unknown - fashion-valley-mall / ooh,1,,5,,0,,0,
Data Science,Unknown - perplexity / (not set),1,,1,,0,,0,
MSLDT,Unknown - (not set) / blog-link,1,,1,,0,,0,
