program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
BSN,Unknown - Data Not Available / Data Not Available,10,,15,,0,,0,
MESH,Unknown - Data Not Available / Data Not Available,10,2,26,15,2,2,0.2,
Default - (not set),Unknown - fashion-valley-mall / ooh,10,-10,9,-12,0,0,0,
Default - computer-science,Paid Search,9,1,18,-6,7,-3,0.7777777777777778,-0.37777777777777777
MSNP,Unknown - chatgpt.com / (not set),9,,10,,0,,0,
MESH,Display,8,-757,9,-757,0,-1,0,-1
MSLDT,Display,8,-2,27,12,5,2,0.625,1.0833333333333335
MSAAI,Unknown - Data Not Available / Data Not Available,8,4,11,5,1,1,0.125,
MSNNL,Organic Social,7,-5,16,3,1,1,0.14285714285714285,
Data Science,Unknown - chatgpt.com / (not set),7,,8,,0,,0,
Default - (not set),Unknown - Data Not Available / Data Not Available,7,1,19,8,1,0,0.14285714285714285,-0.14285714285714285
Default - engineering,Direct,7,0,6,-11,0,0,0,
MSHA,Organic Social,7,-23,7,-33,0,0,0,
Informatics,Unknown - chatgpt.com / (not set),7,,13,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Referral,7,5,9,6,0,0,0,
MTS,Unknown - chatgpt.com / (not set),6,,11,,1,,0.16666666666666666,
MED,Unknown - Data Not Available / Data Not Available,6,2,8,-4,0,-1,0,-1
MSITL,Organic Social,6,-20,11,-24,0,-1,0,-1
MTS,Unknown - Data Not Available / Data Not Available,6,0,14,6,0,0,0,
CyberEng,Unknown - chatgpt.com / (not set),6,,6,,0,,0,
MSNNL,Unknown - chatgpt.com / (not set),5,,5,,0,,0,
MSLDT,Unknown - perplexity / (not set),5,,7,,0,,0,
MSHA,Unknown - flyer / offline,5,,7,,0,,0,
MSHA,Display,5,-4,13,4,2,1,0.4,2.6000000000000005
EML,Display,5,-65,5,-66,0,-1,0,-1
LEPSL,Unknown - chatgpt.com / (not set),5,,6,,0,,0,
CyberEng,Organic Social,5,-5,5,-5,0,0,0,
"Default - leadership-management,police-leadership",Direct,5,,9,,0,,0,
MESH,Unknown - chatgpt.com / (not set),4,,4,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,4,-1,10,5,3,-2,0.75,-0.25
MSLDT,Unknown - Data Not Available / Data Not Available,4,1,15,8,0,-1,0,-1
MSNNL,Unknown - tableposter / offline,4,3,4,3,0,0,0,
"Default - engineering,healthcare,sustainability",Direct,4,3,4,3,0,0,0,
MSITL,Email,4,0,3,-11,0,-2,0,-1
EML,Unknown - Data Not Available / Data Not Available,4,-3,11,4,1,1,0.25,
EML,Unknown - chatgpt.com / (not set),4,,4,,1,,0.25,
CyberEng,Unknown - Data Not Available / Data Not Available,4,-2,7,-6,0,-1,0,-1
Data Science,Unknown - Data Not Available / Data Not Available,4,,5,,0,,0,
LEPSL,Unknown - policeone / directory,4,-3,6,-3,0,0,0,
MESH,Unknown - perplexity / (not set),3,,3,,0,,0,
MESH,Affiliate,3,2,8,7,1,1,0.3333333333333333,
MSLDT,Unknown - copilot.com / (not set),3,,3,,0,,0,
MSNP,Organic Social,3,-13,6,-13,0,0,0,
MTS,Unknown - ig / social,3,1,3,1,0,0,0,
MSNP,Unknown - facebook / social,3,-2,3,-2,0,0,0,
EML,Organic Social,2,1,1,0,0,0,0,
"Default - computer-science,engineering,technology",Paid Search,2,1,2,-3,0,0,0,
LEPSL,Unknown - Data Not Available / Data Not Available,2,0,3,0,0,0,0,
"Default - computer-science,engineering,technology",Email,2,-1,2,-4,0,0,0,
Default - (not set),Display,2,-14,6,-27,0,-1,0,-1
MSNP,Unknown - Data Not Available / Data Not Available,2,1,3,1,0,0,0,
MTS,Unknown - copilot.com / (not set),2,,2,,0,,0,
"Default - humanitarian-nonprofit,leadership-management",Direct,2,,3,,0,,0,
MSITL,Unknown - Data Not Available / Data Not Available,2,-7,6,-47,1,-2,0.5,0.5000000000000001
MSITL,Unknown - chatgpt.com / (not set),2,,4,,0,,0,
MTS,Unknown - perplexity / (not set),2,,2,,0,,0,
MESH,Unknown - ig / social,2,,4,,0,,0,
MSITL,Unknown - perplexity / (not set),2,,2,,0,,0,
Informatics,Unknown - fashion-valley-mall / ooh,2,0,6,4,0,0,0,
LEPSL,Unknown - copilot.com / (not set),2,,2,,0,,0,
MESH,Unknown - facebook / social,2,,1,,0,,0,
Informatics,Display,2,,2,,0,,0,
MSITL,Unknown - Keystone / ReadMoreSchoolWebsiteCTA,1,,6,,1,,1,
MED,Unknown - facebook / social,1,0,1,-1,0,0,0,
BSN,Unknown - chatgpt.com / (not set),1,,1,,0,,0,
MTS,Unknown - fashion-valley-mall / ooh,1,,5,,0,,0,
Data Science,Unknown - perplexity / (not set),1,,1,,0,,0,
MSLDT,Unknown - (not set) / blog-link,1,,1,,0,,0,
MTS,Unknown - optin monster / exit overlay,1,,2,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Unknown - optin monster / exit overlay,1,1,5,2,1,0,1,
Default - computer-science,Direct,1,0,1,0,0,0,0,
CyberOps,Unknown - idg / native,1,,1,,0,,0,
BSN,Referral,1,,1,,0,,0,
Default - computer-science,Paid Social,1,-10,3,-17,1,-10,1,0
MED,Unknown - optin monster / exit overlay,1,,1,,0,,0,
Data Science,Unknown - optin monster / exit overlay,1,0,1,0,0,0,0,
MSAAI,Unknown - comms / pressrelease,1,,1,,0,,0,
MSHA,Unknown - perplexity / (not set),1,,1,,0,,0,
MTS,Unknown - youtube / video,1,,1,,0,,0,
MSLDT,Unknown - linkedin / social,1,,1,,0,,0,
MSAAI,Unknown - copilot.com / (not set),1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Search,1,-4,1,-10,1,-4,1,0
MSHA,Unknown - ihsa / efafeeby,1,,1,,0,,0,
BSN,Unknown - flyer / offline,1,,7,,0,,0,
MSNNL,Unknown - mts_youtube / video,1,,1,,0,,0,
MSLDT,Unknown - (not set) / third-party-=,1,,1,,0,,0,
CyberEng,Unknown - perplexity / (not set),1,,1,,0,,0,
MSAAI,Unknown - optin monster / exit overlay,1,,6,,1,,1,
MSNP,Unknown - perplexity / (not set),1,,4,,0,,0,
MSLDT,Unknown - youtube / social,1,-2,1,-2,0,0,0,
CyberOps,Unknown - idg / nativecontent,1,,1,,0,,0,
CyberOps,Unknown - copilot.com / (not set),1,,1,,0,,0,
CyberOps,Unknown - perplexity / (not set),1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Organic Search,1,0,9,6,2,1,2,1
MSNP,Display,1,-6,1,-8,0,0,0,
"Default - engineering,healthcare,sustainability",Organic Search,1,,0,,0,,0,
MED,Unknown - chatgpt.com / organic,1,,1,,0,,0,
MSLDT,Unknown - (not set) / partner,1,,1,,0,,0,
MSNP,Unknown - sdbusinessjournal / offline,1,,1,,0,,0,
MSAAI,Unknown - facebook / social,0,-7,0,-9,0,-1,null,
