program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
Data Science,Direct,/masters-cyber-security-operations/,2,1,19,17,0,0,0,0
EML,Paid Social,/masters-engineering-management-leadership/,2,0,3,0,0,0,0,0
Data Science,Unknown - blog / inlinecta,/resources/look-inside-data-science-masters/,1,,1,,0,,0,
EML,Email,/admissions/,1,,5,,0,,0,
EML,Direct,/search/engineering+surveing/,1,,1,,0,,0,
Data Science,Referral,/blog/,1,,0,,0,,0,
EML,Direct,/admissions/how-to-apply/,1,,3,,0,,0,
EML,Direct,/advisory-board/kary-saleeby/,1,-2,1,-2,0,0,0,0
Data Science,Referral,/women-in-data-science-where-we-are-where-were-going-and-why-it-matters/,1,,1,,0,,0,
Data Science,Direct,/resources/data-science-masters-degree-application-free-guide/,1,-1,1,-3,0,0,0,0
Data Science,Direct,/data-science-tools-of-the-trade-r-vs-python-2/,1,0,1,0,0,0,0,0
Data Science,Direct,/faculty/vicente-malave/,1,0,1,0,0,0,0,0
Data Science,Referral,/data-science-vs-statistics-masters/,1,,2,,0,,0,
Data Science,Direct,/business-intelligence-developer/,1,-4,1,-4,0,0,0,0
EML,Paid Social,/masters-engineering-management-leadership/curriculum/,1,0,1,0,0,0,0,0
EML,Direct,/advisory-board/ramon-lecanda/,1,,1,,0,,0,
Data Science,AI Traffic,/when-inference-meets-prediction-navigating-the-line-between-statistical-models-and-machine-learning/,1,,1,,0,,0,
Data Science,Referral,/data-communication/,1,,2,,0,,0,
Data Science,Organic Search,/change-career-to-data-science/,1,,1,,0,,0,
EML,Organic Search,/masters-engineering-management-leadership/board-of-advisors/,1,,2,,0,,0,
EML,Organic Search,.translate.goog/engineering-management-leadership-certifications/,1,-2,1,-2,0,0,0,0
Data Science,Organic Search,/faculty/parastoo-qarabaqi/,1,0,1,0,0,0,0,0
EML,Organic Search,/masters-engineering-management-leadership/let-us-pay-for-your-eml-program-application-fee/,1,,0,,0,,0,
Data Science,Organic Search,/masters-applied-data-science/advisory-board/,1,0,1,-2,0,0,0,0
EML,Direct,/employer-partnership/,1,-1,3,-10,0,0,0,0
Data Science,Direct,.translate.goog/applications-of-data-science-in-healthcare/,1,,1,,0,,0,
Data Science,Organic Search,.translate.goog/business-intelligence-engineer-career/,1,0,1,0,0,0,0,0
EML,AI Traffic,/engineering-scholarships/,1,,1,,0,,0,
EML,Referral,/engineering-leadership/,1,,1,,0,,0,
EML,Referral,/effective-engineering-manager/,1,,1,,0,,0,
Data Science,Direct,/faculty/wanghuizi-gao/,1,,1,,0,,0,
Data Science,Organic Search,/data-analyst-vs-data-scientist/,1,-1,1,-1,0,0,0,0
EML,Direct,/engineering-masters-scholarships/,1,-1,1,-1,0,0,0,0
EML,Organic Search,/faculty/john-reese/,1,,1,,0,,0,
EML,Organic Search,/faculty/dan-heinig/,1,,1,,0,,0,
Data Science,Direct,/data-analyst-vs-data-scientist/,1,,1,,0,,0,
Data Science,Organic Search,.translate.goog/13-essential-data-science-textbooks/,1,-2,1,-2,0,0,0,0
EML,Referral,/cyber-crime-investigator-career/,1,,5,,0,,0,
Data Science,Referral,/what-is-data-science/,1,,1,,0,,0,
Data Science,AI Traffic,/sports-analytics-careers/,1,-2,2,-1,0,0,0,0
Data Science,Direct,se-administrator-career/,1,,1,,0,,0,
Data Science,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,1,,3,,0,,0,
EML,Unknown - Data Not Available / Data Not Available,/masters-engineering-management-leadership/,1,,1,,0,,0,
Data Science,Organic Search,.translate.goog/data-science-vs-cybersecurity/,1,,1,,0,,0,
EML,Direct,/masters-applied-data-science/,1,,3,,0,,0,
EML,Direct,/faculty/jay-kunin-phd/,1,,1,,0,,0,
Data Science,Organic Search,/advisory-board/damien-benveniste-phd/,1,,1,,0,,0,
Data Science,Referral,/data-warehouse-engineer/,1,,1,,0,,0,
EML,Referral,/engineering-masters-degrees/,1,,1,,0,,0,
Data Science,Referral,/masters-applied-data-science/lp/study-data-science/,1,0,1,-5,0,-2,0,-2
Data Science,Organic Search,/classes/capstone-project/,1,,1,,0,,0,
Data Science,Organic Search,/advisory-board/eric-colson/,1,0,1,0,0,0,0,0
Data Science,Direct,/faculty/mikael-graindorge/,1,,1,,0,,0,
Data Science,Direct,/database-administrator-career/,1,-3,1,-3,0,0,0,0
EML,Organic Search,/faculty/mandeep-kaur/,1,-1,1,-1,0,0,0,0
Data Science,Organic Search,.translate.goog/supervised-machine-learning-with-gradient-boosting/,1,,1,,0,,0,
Data Science,Direct,/,1,,1,,0,,0,
EML,Organic Social,/future-engineering-trends/,1,,1,,0,,0,
Data Science,Organic Search,/resources/data-science-self-assessment/,1,0,1,-1,0,0,0,0
Data Science,Direct,/lessons-learned-as-a-junior-data-scientist-during-my-graduate-studies/,1,,1,,0,,0,
