program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
LEPSL,Display,17,-8,17,-16,0,0,0,
CyberOps,Email,17,5,18,6,0,0,0,
MSNP,Email,17,-2026,34,-3814,2,-44,0.117647059,4.225063939
MTS,Unknown - Data Not Available / Data Not Available,16,-2,28,-32,1,-1,0.0625,-0.4375
MESH,Unknown - Data Not Available / Data Not Available,14,5,23,-5,0,0,0,
MSNNL,Referral,14,-9,46,6,2,0,0.142857143,0.642857143
LEPSL,Unknown - policeone / directory,13,10,20,17,1,1,0.076923077,
CyberOps,Unknown - Data Not Available / Data Not Available,13,5,20,4,1,-1,0.076923077,-0.692307692
EML,Unknown - Data Not Available / Data Not Available,13,8,17,11,0,0,0,
MESH,Organic Social,12,1,13,1,0,0,0,
MSHA,Display,12,-45,16,-147,2,-16,0.166666667,-0.472222222
"Default - business-entrepreneurship,computer-science,technology",AI Traffic,11,,12,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Direct,11,-1,18,10,0,0,0,
MSNP,Unknown - Data Not Available / Data Not Available,10,-4,16,-58,0,-1,0,-1
Informatics,Organic Social,9,3,14,2,0,-2,0,-1
Default - (not set),Unknown - Data Not Available / Data Not Available,9,1,23,13,1,1,0.111111111,
Default - (not set),Display,9,0,13,-1,2,2,0.222222222,
MSLDT,Unknown - Data Not Available / Data Not Available,9,0,15,-14,0,-6,0,-1
MESH,Affiliate,8,-2,10,-6,1,0,0.125,0.25
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,8,1,20,6,3,-3,0.375,-0.5625
MSLDT,Unknown - youtube / social,8,,10,,0,,0,
MTS,Display,8,5,15,11,0,0,0,
MSNNL,Unknown - Data Not Available / Data Not Available,7,-5,20,-34,1,-1,0.142857143,-0.142857143
MSNP,Display,7,-48,19,-76,0,-8,0,-1
MSITL,Email,7,3,10,2,1,1,0.142857143,
Data Science,Email,7,-33,9,-34,0,0,0,
MSAAI,Unknown - Data Not Available / Data Not Available,6,-1,10,-5,0,-1,0,-1
MSNP,Organic Social,6,3,14,5,0,0,0,
MSNNL,Organic Social,6,,8,,0,,0,
MED,Unknown - Data Not Available / Data Not Available,6,4,9,0,0,0,0,
MSNNL,AI Traffic,5,0,7,0,0,0,0,
Data Science,Organic Social,5,-1,5,0,0,0,0,
"Default - engineering,healthcare,sustainability",Direct,5,2,7,4,1,1,0.2,
MTS,Unknown - tradedesk / ctv,5,,5,,0,,0,
CyberEng,Unknown - Data Not Available / Data Not Available,5,-5,9,-7,0,-1,0,-1
Default - computer-science,Direct,3,1,4,0,1,0,0.333333333,-0.333333333
Default - computer-science,Organic Search,3,1,3,2,0,0,0,
LEPSL,Unknown - fbileeda-insighter / offline,3,,7,,1,,0.333333333,
MSAAI,Unknown - msaai flyer / brochure,3,,4,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Organic Search,2,1,3,-4,2,-1,1,-0.666666667
Default - (not set),Unknown - fashion-valley-mall / ooh,2,,2,,0,,0,
MSHA,Unknown - Data Not Available / Data Not Available,2,-3,2,-8,0,-1,0,-1
"Default - computer-science,engineering,technology",AI Traffic,2,-4,3,-1,0,0,0,
Informatics,Unknown - {{site_source_name}} / {{placement}},2,0,2,0,0,0,0,
MSNNL,Unknown - tableposter / offline,2,1,2,1,0,0,0,
Data Science,Unknown - blog / inlinecta,2,-2,2,-2,0,-1,0,-1
CyberEng,Display,2,-103,3,-118,0,-2,0,-1
LEPSL,Unknown - event / poker-chip,2,-1,6,2,0,0,0,
"Default - computer-science,engineering,technology",Referral,2,0,1,-13,0,-2,0,-1
"Default - computer-science,engineering,technology",Paid Search,2,-1,6,-9,0,0,0,
"Default - computer-science,engineering,technology",Organic Social,2,,2,,0,,0,
"Default - computer-science,leadership-management,technology",Direct,1,,1,,0,,0,
CyberOps,Display,1,-139,1,-178,0,-8,0,-1
Data Science,Unknown - Data Not Available / Data Not Available,1,-2,1,-4,0,0,0,
"Default - engineering,sustainability",Direct,1,,1,,0,,0,
Informatics,Display,1,-1,1,-1,0,0,0,
MTS,Unknown - youtube / video,1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Referral,1,,1,,0,,0,
Informatics,Unknown - brasilparalelo.com.br / /noticias/criadores-de-inteligencia-artificial-afirmam-que-a-tecnologia-e-boa-mas-deve-ser-usada-com-cautela,1,,1,,0,,0,
EML,Organic Social,1,0,1,0,0,0,0,
MED,Unknown - facebook / social,1,,1,,0,,0,
Informatics,Unknown - openai / (not set),1,,1,,0,,0,
MSITL,Display,1,,12,,0,,0,
Default - (not set),Affiliate,1,,2,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Search,1,0,1,0,1,0,1,0
MSITL,Unknown - facebook / social,1,,1,,0,,0,
MSITL,Unknown - Data Not Available / Data Not Available,1,0,2,0,0,0,0,
null,Display,1,,1,,0,,0,
LEPSL,Unknown - Data Not Available / Data Not Available,1,-4,2,-6,0,0,0,
Default - (not set),Unknown - Endorsal Review Page / Referral,1,,1,,0,,0,
