program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
LEPSL,Unknown - fbileeda-insighter / offline,3,-4,7,-2,1,1,0.3333333333333333,
MSAAI,Unknown - msaai flyer / brochure,3,2,4,2,0,0,0,
MTS,Unknown - perplexity / (not set),3,,3,,0,,0,
Informatics,Unknown - perplexity / (not set),3,,3,,0,,0,
Default - computer-science,Organic Search,3,,3,,0,,0,
MED,Unknown - chatgpt.com / organic,3,,5,,0,,0,
LEPSL,Unknown - chatgpt.com / (not set),3,,3,,0,,0,
MSITL,Unknown - perplexity / (not set),3,,3,,0,,0,
MESH,Unknown - perplexity / (not set),3,,4,,0,,0,
Default - computer-science,Direct,3,,4,,1,,0.3333333333333333,
MSHA,Unknown - Data Not Available / Data Not Available,2,,2,,0,,0,
Data Science,Unknown - blog / inlinecta,2,,2,,0,,0,
Default - (not set),Unknown - fashion-valley-mall / ooh,2,,2,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Organic Search,2,,3,,2,,1,
Informatics,Unknown - {{site_source_name}} / {{placement}},2,1,2,1,0,0,0,
"Default - computer-science,engineering,technology",Organic Social,2,,2,,0,,0,
"Default - computer-science,engineering,technology",Unknown - chatgpt.com / (not set),2,,3,,0,,0,
LEPSL,Unknown - event / poker-chip,2,,6,,0,,0,
CyberEng,Display,2,-142,3,-140,0,0,0,
MSNNL,Unknown - tableposter / offline,2,,2,,0,,0,
"Default - computer-science,engineering,technology",Paid Search,2,,6,,0,,0,
MSNNL,Unknown - chatgpt.com / (not set),2,,3,,0,,0,
LEPSL,Unknown - perplexity / (not set),2,,2,,0,,0,
"Default - computer-science,engineering,technology",Referral,2,,1,,0,,0,
Default - (not set),Unknown - perplexity / (not set),2,,2,,0,,0,
CyberOps,Display,1,-92,1,-100,0,-1,0,-1
null,Display,1,,1,,0,,0,
"Default - computer-science,leadership-management,technology",Direct,1,,1,,0,,0,
Data Science,Unknown - chatgpt.com / organic,1,,1,,0,,0,
MED,Unknown - facebook / social,1,-3,1,-41,0,0,0,
MSITL,Unknown - facebook / social,1,-7,1,-50,0,0,0,
MSITL,Display,1,-340,12,-378,0,-9,0,-1
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Search,1,,1,,1,,1,
Data Science,Unknown - perplexity / (not set),1,,1,,0,,0,
Data Science,Unknown - Data Not Available / Data Not Available,1,,1,,0,,0,
MSITL,Unknown - Data Not Available / Data Not Available,1,,2,,0,,0,
MTS,Unknown - youtube / video,1,,1,,0,,0,
Informatics,Display,1,0,1,0,0,0,0,
MSAAI,Unknown - www.aiminds.com / newsletter,1,,1,,0,,0,
Informatics,Unknown - openai / (not set),1,,1,,0,,0,
LEPSL,Unknown - Data Not Available / Data Not Available,1,,2,,0,,0,
Default - (not set),Unknown - Endorsal Review Page / Referral,1,,1,,0,,0,
MSNP,Unknown - perplexity / (not set),1,,1,,0,,0,
EML,Organic Social,1,-9,1,-10,0,0,0,
Informatics,Unknown - brasilparalelo.com.br / /noticias/criadores-de-inteligencia-artificial-afirmam-que-a-tecnologia-e-boa-mas-deve-ser-usada-com-cautela,1,,1,,0,,0,
EML,Unknown - chatgpt.com / (not set),1,,1,,0,,0,
"Default - engineering,sustainability",Direct,1,,1,,0,,0,
Default - (not set),Affiliate,1,,2,,0,,0,
