program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/manage-cell-phones-in-class-tips/,148,30,166,20,0,0,0,0
Default - (not set),Organic Search,/transformational-leadership/,147,8,146,-2,0,0,0,0
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,146,-5,141,-8,0,-1,0,-0.006622517
MED,Organic Search,/careers-masters-curriculum-instruction/,145,36,166,51,1,1,0.006896552,0.006896552
MSLDT,Organic Search,/create-employee-training-program/,145,49,156,53,2,1,0.013793103448275862,0.003376437
MSHA,Organic Search,/international-aid-worker-tips/,144,102,167,121,3,2,0.020833333333333332,-0.00297619
MSAAI,Direct,/application-of-ai-in-robotics/,143,-1,142,-25,0,0,0,0
MESH,Organic Search,/ngo-careers/,143,29,168,38,7,7,0.048951049,0.048951049
MSNP,Organic Search,/best-nonprofit-degrees/,140,15,156,25,1,1,0.007142857,0.007142857
MSAAI,Organic Search,/best-artificial-intelligence-degrees/,140,-2,150,-2,0,0,0,0
MSAAI,Organic Search,/careers-using-python/,140,21,144,25,0,0,0,0
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,137,-14,160,-25,1,-1,0.00729927,-0.005945763
MSAAI,Organic Search,/ai-trainer/,135,110,149,114,0,0,0,0
MTS,Organic Search,/ways-to-deepen-your-faith/,135,23,145,8,0,-1,0,-0.008928571
MSLDT,Direct,/create-employee-training-program/,135,54,121,35,0,0,0,0
MSAAI,Referral,/masters-applied-artificial-intelligence/,135,12,318,44,9,5,0.066666667,0.034146341
MSITL,Organic Search,/information-technology-trends/,134,71,145,77,0,0,0,0
MSLDT,Direct,/kirkpatrick-training-evaluation-model/,134,50,138,54,0,0,0,0
MTS,Organic Search,/ministry-careers/,131,-51,139,-64,0,0,0,0
MED,Direct,/inclusive-education-strategies/,130,14,142,33,0,0,0,0
MESH,Organic Search,/climate-change-careers/,128,-8,125,-25,0,-2,0,-0.014705882
MSLDT,Organic Search,/addie-model-instructional-design/,127,28,125,10,0,-3,0,-0.03030303
MSNP,Organic Search,/how-to-write-grant-proposals/,126,45,151,72,2,1,0.015873015873015872,0.003527337
MED,Organic Search,/differentiated-instruction/,126,2,124,-6,0,0,0,0
CyberOps,Organic Search,/ethical-hacker-career-salary-guide/,125,-37,137,-45,1,1,0.008,0.008
MTS,Organic Search,/theology-careers/,124,-12,132,-14,0,0,0,0
MSLDT,Organic Search,/job-aid-examples-template/,122,0,114,-23,0,-1,0,-0.008196721
MSAAI,Referral,/artificial-intelligence-business/,121,31,119,21,0,0,0,0
MSAAI,Direct,/masters-applied-artificial-intelligence/classes/,120,-11,137,-56,5,-1,0.041666666666666664,-0.00413486
MED,Organic Search,/steam-education-in-schools/,119,-21,142,-10,2,2,0.016806723,0.016806723
CyberOps,Direct,/top-cyber-security-blogs-websites/,116,-42,109,-62,0,0,0,0
CyberOps,Organic Search,/best-jobs-in-cyber-security/,115,-28,126,-33,2,2,0.017391304347826087,0.017391304347826087
CyberOps,Referral,/top-cyber-security-threats/,115,67,117,67,0,0,0,0
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,115,-264,115,-365,0,-25,0,-0.065963061
LEPSL,Organic Search,/masters-law-enforcement-leadership/,115,14,225,-3,4,3,0.034782608695652174,0.024881619
MSAAI,Direct,/artificial-intelligence-finance/,114,44,122,44,0,0,0,0
Informatics,Organic Search,/masters-health-informatics/,113,1,234,-46,5,3,0.044247788,0.026390644753476612
