program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MTS,Organic Search,/liturgy-of-the-hours/,81,-3,83,-17,0,-1,0,-0.011904761904761904
MED,AI Traffic,/education-inequity-and-homework/,80,11,89,5,0,0,0,0
MTS,Organic Search,/how-to-become-a-spiritual-director/,79,2,84,-4,0,0,0,0
CyberOps,Organic Search,/ethical-hacker-career-salary-guide/,79,-6,90,-6,0,0,0,0
MTS,Organic Search,/jobs-for-catholics/,79,5,88,1,0,0,0,0
MED,Direct,/co-teaching-models/,79,22,64,9,0,0,0,0
MSHA,Organic Search,/top-humanitarian-degrees/,79,-6,84,-23,0,-2,0,-0.023529411764705882
MESH,Organic Search,/career-changes-for-engineers/,77,-9,79,-14,0,0,0,0
MSNNL,Paid Search,/masters-nursing-leadership/apply/,76,54,99,70,1,1,0.013157894736842105,0.013157894736842105
MED,Organic Search,/differentiated-instruction/,76,-10,73,2,0,0,0,0
MSLDT,Organic Search,/learning-objectives-examples/,76,-8,76,-3,0,0,0,0
MSAAI,Direct,/artificial-intelligence-finance/,76,23,72,19,0,0,0,0
MED,Direct,/best-masters-degrees-for-teachers/,74,2,78,2,0,0,0,0
Data Science,Direct,/masters-applied-data-science/,74,4,98,11,1,0,0.013513513513513514,-0.000772200772200771
MSLDT,Organic Search,/top-instructional-design-software/,74,10,71,15,1,1,0.013513513513513514,0.013513513513513514
MED,Direct,/teaching-to-every-students-unique-learning-style/,73,-17,84,-12,0,0,0,0
MESH,Organic Search,/ngo-careers/,71,-12,75,-14,1,0,0.014084507042253521,0.0020363142711691835
MED,Organic Search,/instructional-leadership/,71,5,71,4,0,0,0,0
MSAAI,Direct,/application-of-ai-in-robotics/,71,-13,70,-26,0,0,0,0
Default - (not set),Direct,/tuition-financial-aid/tuition/,70,41,75,51,0,0,0,0
MSHA,Direct,/masters-humanitarian-action/,70,20,120,30,0,-1,0,-0.02
Default - (not set),Organic Search,/programs/,70,25,97,38,0,0,0,0
MSAAI,Organic Search,/machine-learning-podcast/,70,-3,72,-3,0,0,0,0
MSITL,Direct,/it-job-titles/,69,4,92,25,0,0,0,0
MTS,Direct,/masters-theological-studies/,69,-132,119,-115,0,-1,0,-0.004975124378109453
MED,Direct,/steam-education-in-schools/,69,12,70,18,0,0,0,0
EML,Display,/masters-engineering-management-leadership/lp/ppc/,69,-324,70,-347,1,-6,0.014492753623188406,-0.0033189512114171916
MED,Direct,/differentiated-instruction/,68,-28,60,-35,0,0,0,0
MED,Direct,/inclusive-education-strategies/,68,21,68,18,0,0,0,0
MSNNL,Direct,/masters-nursing-leadership/,67,3,153,15,3,-2,0.04477611940298507,-0.03334888059701493
MED,Organic Search,/masters-education/,67,2,97,-20,1,0,0.014925373134328358,-0.00045924225028702755
"Default - business-entrepreneurship,computer-science,technology",Organic Search,/ai-for-teachers/,67,25,69,30,0,0,0,0
MTS,Direct,/catholic-charism-comparison/,66,19,70,19,0,0,0,0
MSAAI,Referral,/artificial-intelligence-business/,66,2,65,12,2,2,0.030303030303030304,0.030303030303030304
MSHA,Direct,/examples-of-social-change/,65,30,68,33,0,0,0,0
MSLDT,Organic Social,/instructional-design-interview-questions/,64,,66,,0,,0,
MSHA,Direct,/humanitarian-intervention-success-stories/,64,8,71,14,1,1,0.015625,0.015625
MSLDT,Organic Search,/masters-learning-design-technology/,64,15,150,53,1,1,0.015625,0.015625
MSLDT,Organic Search,/instructional-technology-tools/,63,8,62,10,1,1,0.015873015873015872,0.015873015873015872
CyberEng,Organic Search,/cyber-crime-investigator-career/,63,3,68,7,0,0,0,0
MED,Direct,/teacher-resume-examples/,63,53,57,48,3,3,0.047619047619047616,0.047619047619047616
MSITL,Organic Search,/technology-degrees/,63,15,67,15,0,0,0,0
MSITL,Organic Search,/it-careers-after-help-desk/,63,5,61,8,0,0,0,0
MED,Direct,/cooperative-learning-strategies/,62,5,56,2,0,0,0,0
MSHA,Direct,/human-rights-violation-definition/,62,60,69,67,0,0,0,0
MSAAI,Organic Search,/best-artificial-intelligence-degrees/,62,-25,65,-30,1,1,0.016129032258064516,0.016129032258064516
